Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
旧金山联合广场,qwen,context,Direct,13,54.17%,2025-12-25T19:40:03.598849,25.00%,50.00%,75.00%,75.00%,75.00%
旧金山联合广场,qwen,graph,Direct,11,45.83%,2025-12-25T19:40:42.552427,12.50%,75.00%,50.00%,50.00%,75.00%
旧金山联合广场,qwen,map,Direct,14,58.33%,2025-12-25T19:41:18.531214,62.50%,25.00%,100.00%,25.00%,75.00%
柏林勃兰登堡门,claude,context,Direct,21,87.50%,2025-12-25T19:43:03.326876,75.00%,100.00%,100.00%,75.00%,100.00%
柏林勃兰登堡门,claude,graph,Direct,11,45.83%,2025-12-25T19:47:22.223777,50.00%,25.00%,50.00%,0.00%,100.00%
柏林勃兰登堡门,claude,map,Direct,15,62.50%,2025-12-25T19:49:01.846736,50.00%,75.00%,25.00%,75.00%,100.00%
柏林勃兰登堡门,deepseek,context,Direct,16,66.67%,2025-12-25T19:50:16.324474,75.00%,100.00%,75.00%,25.00%,50.00%
柏林勃兰登堡门,deepseek,graph,Direct,9,37.50%,2025-12-25T19:51:28.700298,37.50%,25.00%,50.00%,0.00%,75.00%
柏林勃兰登堡门,deepseek,map,Direct,12,50.00%,2025-12-25T19:52:46.965141,37.50%,75.00%,75.00%,0.00%,75.00%
柏林勃兰登堡门,gemini,context,Direct,21,87.50%,2025-12-25T20:01:04.126925,100.00%,100.00%,50.00%,75.00%,100.00%
柏林勃兰登堡门,gemini,graph,Direct,20,83.33%,2025-12-25T20:20:31.689271,100.00%,100.00%,50.00%,50.00%,100.00%
柏林勃兰登堡门,gemini,map,Direct,21,87.50%,2025-12-25T20:39:01.377669,100.00%,100.00%,50.00%,75.00%,100.00%
柏林勃兰登堡门,openai,context,Direct,19,79.17%,2025-12-25T20:40:12.490837,75.00%,100.00%,50.00%,75.00%,100.00%
柏林勃兰登堡门,openai,graph,Direct,11,45.83%,2025-12-25T20:41:20.460352,25.00%,50.00%,50.00%,25.00%,100.00%
柏林勃兰登堡门,openai,map,Direct,14,58.33%,2025-12-25T20:42:26.328418,12.50%,75.00%,75.00%,75.00%,100.00%
柏林勃兰登堡门,qwen,context,Direct,15,62.50%,2025-12-25T20:43:05.240235,37.50%,100.00%,75.00%,25.00%,100.00%
柏林勃兰登堡门,qwen,graph,Direct,9,37.50%,2025-12-25T20:43:40.334774,37.50%,25.00%,50.00%,0.00%,75.00%
柏林勃兰登堡门,qwen,map,Direct,8,33.33%,2025-12-25T20:44:16.409378,25.00%,50.00%,50.00%,0.00%,50.00%
武汉黄鹤楼,claude,context,Direct,17,70.83%,2025-12-25T20:46:09.249838,75.00%,75.00%,75.00%,25.00%,100.00%
武汉黄鹤楼,claude,graph,Direct,13,54.17%,2025-12-25T20:49:53.454919,50.00%,50.00%,50.00%,25.00%,100.00%
武汉黄鹤楼,claude,map,Direct,14,58.33%,2025-12-25T20:51:50.357326,75.00%,25.00%,75.00%,25.00%,75.00%
武汉黄鹤楼,deepseek,context,Direct,11,45.83%,2025-12-25T20:53:06.850832,75.00%,25.00%,75.00%,25.00%,0.00%
武汉黄鹤楼,deepseek,graph,Direct,7,29.17%,2025-12-25T20:54:20.513284,25.00%,0.00%,25.00%,25.00%,75.00%
武汉黄鹤楼,deepseek,map,Direct,13,54.17%,2025-12-25T20:55:36.416186,62.50%,50.00%,50.00%,25.00%,75.00%
武汉黄鹤楼,gemini,context,Direct,21,87.50%,2025-12-25T21:09:48.577102,100.00%,100.00%,100.00%,25.00%,100.00%
武汉黄鹤楼,gemini,graph,Direct,14,58.33%,2025-12-25T21:27:10.922865,75.00%,25.00%,50.00%,25.00%,100.00%
武汉黄鹤楼,gemini,map,Direct,16,66.67%,2025-12-25T21:45:11.394778,87.50%,50.00%,50.00%,25.00%,100.00%
武汉黄鹤楼,openai,context,Direct,16,66.67%,2025-12-25T21:46:07.263838,50.00%,75.00%,50.00%,75.00%,100.00%
武汉黄鹤楼,openai,graph,Direct,11,45.83%,2025-12-25T21:46:57.003205,37.50%,25.00%,50.00%,25.00%,100.00%
武汉黄鹤楼,openai,map,Direct,11,45.83%,2025-12-25T21:47:45.713088,50.00%,0.00%,75.00%,50.00%,50.00%
武汉黄鹤楼,qwen,context,Direct,13,54.17%,2025-12-25T21:48:24.370206,37.50%,50.00%,75.00%,25.00%,100.00%
武汉黄鹤楼,qwen,graph,Direct,10,41.67%,2025-12-25T21:48:54.400023,37.50%,50.00%,50.00%,25.00%,50.00%
武汉黄鹤楼,qwen,map,Direct,14,58.33%,2025-12-25T21:49:22.181830,62.50%,50.00%,75.00%,25.00%,75.00%
洛杉矶好莱坞,claude,context,Direct,17,70.83%,2025-12-25T21:51:16.250392,62.50%,75.00%,100.00%,25.00%,100.00%
洛杉矶好莱坞,claude,graph,Direct,14,58.33%,2025-12-25T22:05:28.887172,50.00%,75.00%,100.00%,0.00%,75.00%
洛杉矶好莱坞,claude,map,Direct,17,70.83%,2025-12-25T22:07:18.369110,75.00%,100.00%,75.00%,0.00%,100.00%
洛杉矶好莱坞,deepseek,context,Direct,10,41.67%,2025-12-25T22:08:33.418125,50.00%,25.00%,50.00%,0.00%,75.00%
洛杉矶好莱坞,deepseek,graph,Direct,9,37.50%,2025-12-25T22:09:45.965265,25.00%,25.00%,75.00%,0.00%,75.00%
洛杉矶好莱坞,deepseek,map,Direct,11,45.83%,2025-12-25T22:11:02.707948,50.00%,25.00%,50.00%,25.00%,75.00%
洛杉矶好莱坞,gemini,context,Direct,19,79.17%,2025-12-25T22:21:11.266351,100.00%,100.00%,75.00%,0.00%,100.00%
洛杉矶好莱坞,gemini,graph,Direct,19,79.17%,2025-12-25T22:35:11.492767,100.00%,75.00%,100.00%,0.00%,100.00%
洛杉矶好莱坞,gemini,map,Direct,17,70.83%,2025-12-25T22:58:39.306362,75.00%,100.00%,75.00%,0.00%,100.00%
洛杉矶好莱坞,openai,context,Direct,22,91.67%,2025-12-25T22:59:50.510130,75.00%,100.00%,100.00%,100.00%,100.00%
洛杉矶好莱坞,openai,graph,Direct,3,12.50%,2025-12-25T23:01:19.690740,12.50%,0.00%,0.00%,25.00%,25.00%
洛杉矶好莱坞,openai,map,Direct,18,75.00%,2025-12-25T23:02:38.166566,75.00%,50.00%,100.00%,50.00%,100.00%
洛杉矶好莱坞,qwen,context,Direct,13,54.17%,2025-12-25T23:03:17.577194,37.50%,25.00%,100.00%,50.00%,75.00%
洛杉矶好莱坞,qwen,graph,Direct,13,54.17%,2025-12-25T23:03:55.454011,12.50%,75.00%,75.00%,75.00%,75.00%
洛杉矶好莱坞,qwen,map,Direct,16,66.67%,2025-12-25T23:04:33.918081,75.00%,50.00%,100.00%,25.00%,75.00%
纽约时代广场,claude,context,Direct,16,66.67%,2025-12-25T23:06:42.676833,37.50%,75.00%,75.00%,75.00%,100.00%
纽约时代广场,claude,graph,Direct,16,66.67%,2025-12-25T23:11:16.748950,87.50%,50.00%,50.00%,25.00%,100.00%
纽约时代广场,claude,map,Direct,14,58.33%,2025-12-25T23:12:47.356757,62.50%,25.00%,75.00%,25.00%,100.00%
纽约时代广场,deepseek,context,Direct,16,66.67%,2025-12-25T23:14:05.672263,75.00%,75.00%,75.00%,25.00%,75.00%
纽约时代广场,deepseek,graph,Direct,8,33.33%,2025-12-25T23:15:21.932458,37.50%,0.00%,25.00%,0.00%,100.00%
纽约时代广场,deepseek,map,Direct,15,62.50%,2025-12-25T23:16:36.354552,75.00%,25.00%,75.00%,25.00%,100.00%
纽约时代广场,gemini,context,Direct,17,70.83%,2025-12-25T23:25:51.156068,50.00%,75.00%,75.00%,75.00%,100.00%
