Region,Eval Model,Source File,Context Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
柏林勃兰登堡门,openai,评估报告_柏林勃兰登堡门_qwen_report.txt__柏林勃兰登堡门__summary_memory_50pct.txt,一次压缩,Direct,9,37.50%,2026-03-24T17:50:38.036051,0,37.50%,25.00%,50.00%,25.00%,50.00%
武汉黄鹤楼,claude,评估报告_武汉黄鹤楼_qwen_report.txt__武汉黄鹤楼__summary_memory_50pct.txt,一次压缩,Direct,6,25.00%,2026-03-24T17:57:32.247536,0,12.50%,0.00%,25.00%,25.00%,75.00%
武汉黄鹤楼,openai,评估报告_武汉黄鹤楼_qwen_report.txt__武汉黄鹤楼__summary_memory_50pct.txt,一次压缩,Direct,7,29.17%,2026-03-24T17:58:00.727526,0,25.00%,25.00%,50.00%,25.00%,25.00%
洛杉矶好莱坞,claude,评估报告_洛杉矶好莱坞_qwen_report.txt__洛杉矶好莱坞__summary_memory_50pct.txt,一次压缩,Direct,9,37.50%,2026-03-24T19:59:16.203484,0,25.00%,25.00%,75.00%,0.00%,75.00%
洛杉矶好莱坞,openai,评估报告_洛杉矶好莱坞_qwen_report.txt__洛杉矶好莱坞__summary_memory_50pct.txt,一次压缩,Direct,8,33.33%,2026-03-24T20:00:33.309955,0,37.50%,25.00%,25.00%,0.00%,75.00%
纽约时代广场,claude,评估报告_纽约时代广场_qwen_report.txt__纽约时代广场__summary_memory_50pct.txt,一次压缩,Direct,10,41.67%,2026-03-24T20:06:00.711708,0,37.50%,50.00%,50.00%,25.00%,50.00%
纽约时代广场,openai,评估报告_纽约时代广场_qwen_report.txt__纽约时代广场__summary_memory_50pct.txt,一次压缩,Direct,7,29.17%,2026-03-24T20:07:32.113910,0,25.00%,25.00%,50.00%,0.00%,50.00%
维也纳美泉宫,claude,评估报告_维也纳美泉宫_qwen_report.txt__维也纳美泉宫__summary_memory_50pct.txt,一次压缩,Direct,12,50.00%,2026-03-24T20:12:51.439916,0,37.50%,50.00%,50.00%,75.00%,50.00%
维也纳美泉宫,openai,评估报告_维也纳美泉宫_qwen_report.txt__维也纳美泉宫__summary_memory_50pct.txt,一次压缩,Direct,11,45.83%,2026-03-24T20:14:04.238740,0,25.00%,50.00%,75.00%,25.00%,75.00%
罗马斗兽场,claude,评估报告_罗马斗兽场_qwen_report.txt__罗马斗兽场__summary_memory_50pct.txt,一次压缩,Direct,9,37.50%,2026-03-24T20:17:54.361689,0,25.00%,25.00%,75.00%,50.00%,25.00%
罗马斗兽场,openai,评估报告_罗马斗兽场_qwen_report.txt__罗马斗兽场__summary_memory_50pct.txt,一次压缩,Direct,7,29.17%,2026-03-24T20:19:09.560722,0,0.00%,0.00%,75.00%,25.00%,75.00%
芝加哥千禧公园,claude,评估报告_芝加哥千禧公园_qwen_report.txt__芝加哥千禧公园__summary_memory_50pct.txt,一次压缩,Direct,7,29.17%,2026-03-24T20:23:22.385673,0,12.50%,25.00%,75.00%,25.00%,25.00%
芝加哥千禧公园,openai,评估报告_芝加哥千禧公园_qwen_report.txt__芝加哥千禧公园__summary_memory_50pct.txt,一次压缩,Direct,3,12.50%,2026-03-24T20:24:43.526959,0,0.00%,25.00%,25.00%,25.00%,0.00%
长沙五一广场,claude,评估报告_长沙五一广场_qwen_report.txt__长沙五一广场__summary_memory_50pct.txt,一次压缩,Direct,8,33.33%,2026-03-24T20:28:59.417776,0,25.00%,25.00%,50.00%,50.00%,25.00%
长沙五一广场,openai,评估报告_长沙五一广场_qwen_report.txt__长沙五一广场__summary_memory_50pct.txt,一次压缩,Direct,10,41.67%,2026-03-24T20:30:26.903062,0,62.50%,0.00%,50.00%,0.00%,75.00%
